name	mz	rt	intensity	exact_mass	ppm_error	rt_diff	adduct	C	H	N	O	P	S	molecular_formula	compound_name	compound_id	compound_count	compounds_hmdb_full_v4_0_20200909_v1
75_02526269	75.02526269	0.0	1453.473212															
77_01235688	77.01235688	0.0	1735.05375															
78_95837265	78.95837265	0.0	5329.962764															
80_9161215	80.9161215	0.0	3029.922848															
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)	HMDB0062251	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	D-Alanine	HMDB0001310	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	Ethyl carbamate	HMDB0031219	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	L-Alanine	HMDB0000161	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	Sarcosine	HMDB0000271	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	beta-Alanine	HMDB0000056	1.0	1
92_92770529	92.92770529	0.0	1946.761503															
94_92414748	94.92414748	0.0	5227.122284	94.92375	4.1873609081365295		[M+K-2H]-	1	0	1	0	0	1	CNS	Thiocyanate	HMDB0001453	1.0	1
102_0550047	102.0550047	0.0	1050.351622															
104_034937	104.034937	0.0	1196.618988	104.03531699999999	-3.652605778023626		[M-H]-	3	7	1	3	0	0	C3H7NO3	D-Serine	HMDB0003406	1.0	1
104_034937	104.034937	0.0	1196.618988	104.03531699999999	-3.652605778023626		[M+Hac-H]-	1	3	1	1	0	0	CH3NO	Formamide	HMDB0001536	1.0	1
104_034937	104.034937	0.0	1196.618988	104.03531699999999	-3.652605778023626		[M-H]-	3	7	1	3	0	0	C3H7NO3	L-Serine	HMDB0000187	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.07170199999999	-4.103498025628398		[M+Hac-H]-	3	7	1	0	0	0	C3H7N	Allylamine	HMDB0168957	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	5-Aminopentanoic acid	HMDB0003355	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	Amyl Nitrite	HMDB0015550	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	L-Valine	HMDB0000883	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	N-Methyl-a-aminoisobutyric acid	HMDB0002141	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	Norvaline	HMDB0013716	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	Vaporole	HMDB0001382	1.0	1
117_0033442	117.0033442	0.0	1950.461958															
117_9747926	117.9747926	0.0	976.0129486															
118_050495	118.050495	0.0	1069.649751	118.050967	-3.998273051012165		[M-H]-	4	9	1	3	0	0	C4H9NO3	4-Amino-3-hydroxybutyrate	HMDB0061877	1.0	1
