name	mz	rt	intensity	exact_mass	ppm_error	rt_diff	adduct	C	H	N	O	P	S	molecular_formula	compound_name	compound_id	compound_count	compounds_kegg_full_20210111_v1
75_02526269	75.02526269	0.0	1453.473212															
77_01235688	77.01235688	0.0	1735.05375															
78_95837265	78.95837265	0.0	5329.962764															
80_9161215	80.9161215	0.0	3029.922848															
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	2-Nitropropane	C02116	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	Alanine	C01401	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	D-Alanine	C00133	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	HMMF	C11488	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	L-Alanine	C00041	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	Sarcosine	C00213	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	Urethane	C01537	1.0	1
88_04013363	88.04013363	0.0	1028.658664	88.040402	-3.048259593369109		[M-H]-	3	7	1	2	0	0	C3H7NO2	beta-Alanine	C00099	1.0	1
92_92770529	92.92770529	0.0	1946.761503	92.928023	-3.418882590349056		[M+Cl]-	0	0	0	0	0	0	ClNa	Sodium chloride	C13563	1.0	1
94_92414748	94.92414748	0.0	5227.122284															
102_0550047	102.0550047	0.0	1050.351622															
104_034937	104.034937	0.0	1196.618988	104.03531699999999	-3.652605778023626		[M-H]-	3	7	1	3	0	0	C3H7NO3	D-Serine	C00740	1.0	1
104_034937	104.034937	0.0	1196.618988	104.03531699999999	-3.652605778023626		[M+Hac-H]-	1	3	1	1	0	0	CH3NO	Formamide	C00488	1.0	1
104_034937	104.034937	0.0	1196.618988	104.03531699999999	-3.652605778023626		[M-H]-	3	7	1	3	0	0	C3H7NO3	L-Serine	C00065	1.0	1
104_034937	104.034937	0.0	1196.618988	104.03531699999999	-3.652605778023626		[M-H]-	3	7	1	3	0	0	C3H7NO3	Serine	C00716	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.07170199999999	-4.103498025628398		[M+Hac-H]-	3	7	1	0	0	0	C3H7N	2-Methylaziridine	C19257	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.07170199999999	-4.103498025628398		[M+Hac-H]-	3	7	1	0	0	0	C3H7N	Cyclopropylamine	C14150	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	2-Amino-2-methylbutanoate	C03571	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	4-Methylaminobutyrate	C15987	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	5-Aminopentanoate	C00431	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	Amyl nitrite	C07457	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	Betaine	C00719	1.0	1
116_0712257	116.0712257	0.0	1776.429184	116.071703	-4.11211335462196		[M-H]-	5	11	1	2	0	0	C5H11NO2	D-Norvaline	C01799	1.0	1
