name	mz	rt	intensity	exact_mass	ppm_error	rt_diff	adduct	C	H	N	O	P	S	molecular_formula	compound_name	compound_id	compound_count	compounds_hmdb_full_v4_0_20200909_v1
52_5086901	52.5086901	0.0	3108.458644															
55_00295529	55.00295529	0.0	3347.493017															
57_52371579	57.52371579	0.0	3403.228327															
58_5036674	58.5036674	0.0	3182.615712															
59_06858215	59.06858215	0.0	4500.688541															
60_53180859	60.53180859	0.0	3495.417842															
61_03018252	61.03018252	0.0	3853.307583															
61_51403426	61.51403426	0.0	3285.225362															
62_02886549	62.02886549	0.0	3889.642949															
62_52431643	62.52431643	0.0	6108.160347															
63_02269951	63.02269951	0.0	7009.90887															
64_00707918	64.00707918	0.0	3496.037467															
64_50471593	64.50471593	0.0	2651.832689															
64_53159603	64.53159603	0.0	7523.113061															
64_95485049	64.95485049	0.0	2174.201446															
64_99673068	64.99673068	0.0	4755.556995															
66_01017706	66.01017706	0.0	3371.841089															
66_5290646	66.5290646	0.0	3640.488946															
67_02173441	67.02173441	0.0	3254.919694															
67_50901114	67.50901114	0.0	2696.623479															
68_52191453	68.52191453	0.0	3124.636564															
69_00984846	69.00984846	0.0	3271.914141															
69_53714854	69.53714854	0.0	5343.391692															
70_03057654	70.03057654	0.0	3450.981735															
70_03552546	70.03552546	0.0	6060.700297															
70_5103716	70.5103716	0.0	3714.049712															
71_01076995	71.01076995	0.0	4415.505927															
71_29209796	71.29209796	0.0	2673.998913															
71_52966587	71.52966587	0.0	3785.677134															
71_99878495	71.99878495	0.0	4910.737624															
72_02804821	72.02804821	0.0	4340.479137															
72_99554843	72.99554843	0.0	5319.470735															
73_51006763	73.51006763	0.0	3067.172265															
74_03367348	74.03367348	0.0	8882.827766															
76_0264609	76.0264609	0.0	4641.634312															
76_08896939	76.08896939	0.0	5595.606753															
76_97987017	76.97987017	0.0	3724.352388															
77_52238412	77.52238412	0.0	3146.378039															
78_00472337	78.00472337	0.0	2626.552602															
78_5376322	78.5376322	0.0	3980.674792															
78_96129131	78.96129131	0.0	7683.79077															
79_03601212	79.03601212	0.0	4383.890764															
80_00220199	80.00220199	0.0	2681.020738															
80_02038991	80.02038991	0.0	3524.471532															
81_01469642	81.01469642	0.0	3693.222406															
81_03697138	81.03697138	0.0	5510.426657															
82_01947098	82.01947098	0.0	3592.202897															
82_5189826	82.5189826	0.0	2505.278764															
82_96569718	82.96569718	0.0	2667.897597															
83_01755585	83.01755585	0.0	3357.998613															
83_02577092	83.02577092	0.0	11742.77909	83.025758	0.15561435769356652		[M+K]+	3	8	0	0	0	0	C3H8	Propane	HMDB0031630	1.0	1
83_03916964	83.03916964	0.0	10857.67348															
83_51285973	83.51285973	0.0	3049.631952															
84_03365189	84.03365189	0.0	4762.291377															
84_04487276	84.04487276	0.0	15914.10995															
84_91173322	84.91173322	0.0	4443.313083															
85_53720189	85.53720189	0.0	4949.384874															
86_03871922	86.03871922	0.0	27252.30748															
87_03709581	87.03709581	0.0	4709.5175															
87_53474008	87.53474008	0.0	4666.872379															
87_93845621	87.93845621	0.0	5956.160591															
88_515718	88.515718	0.0	2380.011277															
89_99497312	89.99497312	0.0	2551.77413															
90_02884911	90.02884911	0.0	4671.082685															
90_04248335	90.04248335	0.0	5007.846201															
90_1113057	90.1113057	0.0	12992.81412															
91_0184874	91.0184874	0.0	2563.406812															
91_05894348	91.05894348	0.0	8230.593746															
92_02069716	92.02069716	0.0	2845.024687															
92_06629938	92.06629938	0.0	4178.34918															
92_97721183	92.97721183	0.0	7313.193783															
93_01028868	93.01028868	0.0	2681.280384	93.01016800000001	1.297492549361669		[M+H]+	3	5	0	1	0	0	C3H5ClO	(Chloromethyl)oxirane	HMDB0034232	1.0	1
93_01028868	93.01028868	0.0	2681.280384	93.01016800000001	1.297492549361669		[M+H]+	3	5	0	1	0	0	C3H5ClO	cis-3-Chloro-2-propene-1-ol	HMDB0060456	1.0	1
93_01028868	93.01028868	0.0	2681.280384	93.01016800000001	1.297492549361669		[M+H]+	3	5	0	1	0	0	C3H5ClO	trans-3-Chloro-2-propene-1-ol	HMDB0060514	1.0	1
93_01028868	93.01028868	0.0	2681.280384	93.010108	1.9425845629564378		[M+K]+	4	6	0	0	0	0	C4H6	1,3-Butadiene	HMDB0041792	1.0	1
93_50793873	93.50793873	0.0	2891.202796															
94_04566095	94.04566095	0.0	8067.332482															
94_54263456	94.54263456	0.0	4237.688096															
95_00777675	95.00777675	0.0	2646.868344															
95_01954538	95.01954538	0.0	5370.839387															
95_97590163	95.97590163	0.0	5589.397128															
96_03006329	96.03006329	0.0	6508.059976															
96_94376598	96.94376598	0.0	7028.429252															
96_97260735	96.97260735	0.0	6020.271876															
97_04157091	97.04157091	0.0	3088.84837															
99_03410726	99.03410726	0.0	5122.06079															
99_98050035	99.98050035	0.0	6158.587382															
100_0181332	100.0181332	0.0	2488.829															
100_0363186	100.0363186	0.0	3435.472922															
102_0224628	102.0224628	0.0	6332.684404															
102_0343762	102.0343762	0.0	3422.241836															
102_0519266	102.0519266	0.0	13696.68108															
102_5131872	102.5131872	0.0	2891.885837															
102_5713369	102.5713369	0.0	2962.922845															
103_0245731	103.0245731	0.0	3505.08244															
103_5391827	103.5391827	0.0	2940.053972															
104_0098431	104.0098431	0.0	4725.420473															
105_1045319	105.1045319	0.0	8824.100108															
105_1137653	105.1137653	0.0	4095.514158															
106_0362146	106.0362146	0.0	2764.62914															
106_0409802	106.0409802	0.0	4093.898668															
